state,district,date,sex,age,ethnicity,population
Johor,Batu Pahat,2020-01-01,both,overall,overall,495.3
Johor,Batu Pahat,2020-01-01,both,overall,bumi_malay,311.3
Johor,Batu Pahat,2020-01-01,both,overall,bumi_other,5.1
Johor,Batu Pahat,2020-01-01,both,overall,chinese,140.1
Johor,Batu Pahat,2020-01-01,both,overall,indian,6.9
Johor,Batu Pahat,2020-01-01,both,overall,other_citizen,1.8
Johor,Batu Pahat,2020-01-01,both,overall,other_noncitizen,30.2
Johor,Batu Pahat,2020-01-01,both,0-4,overall,30.3
Johor,Batu Pahat,2020-01-01,both,0-4,bumi_malay,21.3
Johor,Batu Pahat,2020-01-01,both,0-4,bumi_other,0.5
Johor,Batu Pahat,2020-01-01,both,0-4,chinese,8.2
Johor,Batu Pahat,2020-01-01,both,0-4,indian,0.3
Johor,Batu Pahat,2020-01-01,both,0-4,other_citizen,0.0
Johor,Batu Pahat,2020-01-01,both,0-4,other_noncitizen,0.1
Johor,Batu Pahat,2020-01-01,both,5-9,overall,35.6
Johor,Batu Pahat,2020-01-01,both,5-9,bumi_malay,24.4
Johor,Batu Pahat,2020-01-01,both,5-9,bumi_other,0.4
Johor,Batu Pahat,2020-01-01,both,5-9,chinese,10.3
Johor,Batu Pahat,2020-01-01,both,5-9,indian,0.4
Johor,Batu Pahat,2020-01-01,both,5-9,other_citizen,0.1
Johor,Batu Pahat,2020-01-01,both,5-9,other_noncitizen,0.1
Johor,Batu Pahat,2020-01-01,both,10-14,overall,40.0
Johor,Batu Pahat,2020-01-01,both,10-14,bumi_malay,26.9
Johor,Batu Pahat,2020-01-01,both,10-14,bumi_other,0.4
Johor,Batu Pahat,2020-01-01,both,10-14,chinese,12.1
Johor,Batu Pahat,2020-01-01,both,10-14,indian,0.5
Johor,Batu Pahat,2020-01-01,both,10-14,other_citizen,0.1
Johor,Batu Pahat,2020-01-01,both,10-14,other_noncitizen,0.0
Johor,Batu Pahat,2020-01-01,both,15-19,overall,45.0
Johor,Batu Pahat,2020-01-01,both,15-19,bumi_malay,30.2
Johor,Batu Pahat,2020-01-01,both,15-19,bumi_other,0.6
Johor,Batu Pahat,2020-01-01,both,15-19,chinese,11.6
Johor,Batu Pahat,2020-01-01,both,15-19,indian,0.7
Johor,Batu Pahat,2020-01-01,both,15-19,other_citizen,0.5
Johor,Batu Pahat,2020-01-01,both,15-19,other_noncitizen,1.5
Johor,Batu Pahat,2020-01-01,both,20-24,overall,49.0
Johor,Batu Pahat,2020-01-01,both,20-24,bumi_malay,29.4
Johor,Batu Pahat,2020-01-01,both,20-24,bumi_other,0.4
Johor,Batu Pahat,2020-01-01,both,20-24,chinese,12.1
Johor,Batu Pahat,2020-01-01,both,20-24,indian,0.6
Johor,Batu Pahat,2020-01-01,both,20-24,other_citizen,0.3
Johor,Batu Pahat,2020-01-01,both,20-24,other_noncitizen,6.1
Johor,Batu Pahat,2020-01-01,both,25-29,overall,45.3
Johor,Batu Pahat,2020-01-01,both,25-29,bumi_malay,26.4
Johor,Batu Pahat,2020-01-01,both,25-29,bumi_other,0.3
Johor,Batu Pahat,2020-01-01,both,25-29,chinese,11.3
Johor,Batu Pahat,2020-01-01,both,25-29,indian,0.6
Johor,Batu Pahat,2020-01-01,both,25-29,other_citizen,0.1
Johor,Batu Pahat,2020-01-01,both,25-29,other_noncitizen,6.6
Johor,Batu Pahat,2020-01-01,both,30-34,overall,43.1
Johor,Batu Pahat,2020-01-01,both,30-34,bumi_malay,26.7
Johor,Batu Pahat,2020-01-01,both,30-34,bumi_other,0.5
Johor,Batu Pahat,2020-01-01,both,30-34,chinese,10.8
Johor,Batu Pahat,2020-01-01,both,30-34,indian,0.6
Johor,Batu Pahat,2020-01-01,both,30-34,other_citizen,0.1
Johor,Batu Pahat,2020-01-01,both,30-34,other_noncitizen,4.4
Johor,Batu Pahat,2020-01-01,both,35-39,overall,40.4
Johor,Batu Pahat,2020-01-01,both,35-39,bumi_malay,25.4
Johor,Batu Pahat,2020-01-01,both,35-39,bumi_other,0.6
Johor,Batu Pahat,2020-01-01,both,35-39,chinese,10.7
Johor,Batu Pahat,2020-01-01,both,35-39,indian,0.7
Johor,Batu Pahat,2020-01-01,both,35-39,other_citizen,0.1
Johor,Batu Pahat,2020-01-01,both,35-39,other_noncitizen,3.1
Johor,Batu Pahat,2020-01-01,both,40-44,overall,32.7
Johor,Batu Pahat,2020-01-01,both,40-44,bumi_malay,19.5
Johor,Batu Pahat,2020-01-01,both,40-44,bumi_other,0.4
Johor,Batu Pahat,2020-01-01,both,40-44,chinese,10.0
Johor,Batu Pahat,2020-01-01,both,40-44,indian,0.6
Johor,Batu Pahat,2020-01-01,both,40-44,other_citizen,0.2
Johor,Batu Pahat,2020-01-01,both,40-44,other_noncitizen,2.1
Johor,Batu Pahat,2020-01-01,both,45-49,overall,29.7
Johor,Batu Pahat,2020-01-01,both,45-49,bumi_malay,17.6
Johor,Batu Pahat,2020-01-01,both,45-49,bumi_other,0.3
Johor,Batu Pahat,2020-01-01,both,45-49,chinese,9.7
Johor,Batu Pahat,2020-01-01,both,45-49,indian,0.5
Johor,Batu Pahat,2020-01-01,both,45-49,other_citizen,0.1
Johor,Batu Pahat,2020-01-01,both,45-49,other_noncitizen,1.5
Johor,Batu Pahat,2020-01-01,both,50-54,overall,27.1
Johor,Batu Pahat,2020-01-01,both,50-54,bumi_malay,16.4
Johor,Batu Pahat,2020-01-01,both,50-54,bumi_other,0.2
Johor,Batu Pahat,2020-01-01,both,50-54,chinese,9.1
Johor,Batu Pahat,2020-01-01,both,50-54,indian,0.4
Johor,Batu Pahat,2020-01-01,both,50-54,other_citizen,0.1
Johor,Batu Pahat,2020-01-01,both,50-54,other_noncitizen,1.0
Johor,Batu Pahat,2020-01-01,both,55-59,overall,24.3
Johor,Batu Pahat,2020-01-01,both,55-59,bumi_malay,14.9
Johor,Batu Pahat,2020-01-01,both,55-59,bumi_other,0.2
Johor,Batu Pahat,2020-01-01,both,55-59,chinese,8.1
Johor,Batu Pahat,2020-01-01,both,55-59,indian,0.4
Johor,Batu Pahat,2020-01-01,both,55-59,other_citizen,0.1
Johor,Batu Pahat,2020-01-01,both,55-59,other_noncitizen,0.8
Johor,Batu Pahat,2020-01-01,both,60-64,overall,20.3
Johor,Batu Pahat,2020-01-01,both,60-64,bumi_malay,12.2
Johor,Batu Pahat,2020-01-01,both,60-64,bumi_other,0.1
Johor,Batu Pahat,2020-01-01,both,60-64,chinese,7.1
Johor,Batu Pahat,2020-01-01,both,60-64,indian,0.3
